"TRANS1G","GEO","UNIT","TIME","ISCED11","SEX","Value","Flag and Footnotes"
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Ireland","Percentage","2019","Tertiary education (levels 5-8)","Females","46.7",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Greece","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","9.9",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Greece","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","6.4",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Greece","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","26.8",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Greece","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","25.7",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Greece","Percentage","2019","Tertiary education (levels 5-8)","Males","33.2",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Greece","Percentage","2019","Tertiary education (levels 5-8)","Females","34.0",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Spain","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","4.9",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Spain","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","4.4",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Spain","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","17.8",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Spain","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","15.5",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Spain","Percentage","2019","Tertiary education (levels 5-8)","Males","18.6",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Spain","Percentage","2019","Tertiary education (levels 5-8)","Females","17.4",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","France","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","9.2",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","France","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","6.8",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","France","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","14.1",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","France","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","13.3",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","France","Percentage","2019","Tertiary education (levels 5-8)","Males","19.0",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","France","Percentage","2019","Tertiary education (levels 5-8)","Females","18.3",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Croatia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","16.2",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Croatia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","17.0",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Croatia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","45.4",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Croatia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","45.2",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Croatia","Percentage","2019","Tertiary education (levels 5-8)","Males","47.7",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Croatia","Percentage","2019","Tertiary education (levels 5-8)","Females","49.3",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Italy","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","8.6",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Italy","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","8.3",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Italy","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","30.8",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Italy","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","25.6",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Italy","Percentage","2019","Tertiary education (levels 5-8)","Males","39.0",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Italy","Percentage","2019","Tertiary education (levels 5-8)","Females","39.8",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Cyprus","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","14.5",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Cyprus","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","13.1",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Cyprus","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","40.8",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Cyprus","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","34.6",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Cyprus","Percentage","2019","Tertiary education (levels 5-8)","Males","43.9",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Cyprus","Percentage","2019","Tertiary education (levels 5-8)","Females","45.8",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Latvia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","59.6",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Latvia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","42.7",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Latvia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","57.4",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Latvia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","57.3",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Latvia","Percentage","2019","Tertiary education (levels 5-8)","Males","43.7",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Latvia","Percentage","2019","Tertiary education (levels 5-8)","Females","54.6",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Lithuania","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","39.8",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Lithuania","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","46.0",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Lithuania","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","51.4",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Lithuania","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","47.3",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Lithuania","Percentage","2019","Tertiary education (levels 5-8)","Males","39.7",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Lithuania","Percentage","2019","Tertiary education (levels 5-8)","Females","41.6",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Luxembourg","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","15.6",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Luxembourg","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","14.7",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Luxembourg","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","32.7",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Luxembourg","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","34.5",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Luxembourg","Percentage","2019","Tertiary education (levels 5-8)","Males","27.6",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Luxembourg","Percentage","2019","Tertiary education (levels 5-8)","Females","30.9",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Hungary","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","15.6",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Hungary","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","23.3",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Hungary","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","52.7",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Hungary","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","51.9",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Hungary","Percentage","2019","Tertiary education (levels 5-8)","Males","46.7",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Hungary","Percentage","2019","Tertiary education (levels 5-8)","Females","53.7",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Malta","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","47.7",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Malta","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","50.2",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Malta","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","57.0",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Malta","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","67.7",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Malta","Percentage","2019","Tertiary education (levels 5-8)","Males","53.7",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Malta","Percentage","2019","Tertiary education (levels 5-8)","Females","58.8",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Netherlands","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","20.9",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Netherlands","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","19.9",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Netherlands","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","29.1",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Netherlands","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","26.3",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Netherlands","Percentage","2019","Tertiary education (levels 5-8)","Males","25.4",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Netherlands","Percentage","2019","Tertiary education (levels 5-8)","Females","29.5",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Austria","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","27.4",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Austria","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","36.8",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Austria","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","56.2",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Austria","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","54.8",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Austria","Percentage","2019","Tertiary education (levels 5-8)","Males","40.4",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Austria","Percentage","2019","Tertiary education (levels 5-8)","Females","42.0",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Poland","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","44.7",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Poland","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","38.0",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Poland","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","66.0",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Poland","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","61.6",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Poland","Percentage","2019","Tertiary education (levels 5-8)","Males","61.9",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Poland","Percentage","2019","Tertiary education (levels 5-8)","Females","64.8",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Portugal","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","2.2",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Portugal","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","1.1",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Portugal","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","12.8",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Portugal","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","9.1",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Portugal","Percentage","2019","Tertiary education (levels 5-8)","Males","14.7",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Portugal","Percentage","2019","Tertiary education (levels 5-8)","Females","15.4",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Romania","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","34.7",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Romania","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","40.8",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Romania","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","72.7",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Romania","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","73.3",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Romania","Percentage","2019","Tertiary education (levels 5-8)","Males","70.1",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Romania","Percentage","2019","Tertiary education (levels 5-8)","Females","70.7",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Slovenia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","51.7",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Slovenia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","36.8",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Slovenia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","57.3",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Slovenia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","56.5",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Slovenia","Percentage","2019","Tertiary education (levels 5-8)","Males","50.7",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Slovenia","Percentage","2019","Tertiary education (levels 5-8)","Females","54.4",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Slovakia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","11.0",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Slovakia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","7.3",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Slovakia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","33.8",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Slovakia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","34.2",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Slovakia","Percentage","2019","Tertiary education (levels 5-8)","Males","46.2",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Slovakia","Percentage","2019","Tertiary education (levels 5-8)","Females","52.3",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Finland","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","43.5",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Finland","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","38.7",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Finland","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","49.9",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Finland","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","49.6",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Finland","Percentage","2019","Tertiary education (levels 5-8)","Males","38.7",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Finland","Percentage","2019","Tertiary education (levels 5-8)","Females","45.8",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Sweden","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","31.9",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Sweden","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","27.1",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Sweden","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","37.3",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Sweden","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","41.1",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Sweden","Percentage","2019","Tertiary education (levels 5-8)","Males","22.6",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Sweden","Percentage","2019","Tertiary education (levels 5-8)","Females","23.5",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","United Kingdom","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males",":",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","United Kingdom","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females",":",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","United Kingdom","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males",":",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","United Kingdom","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females",":",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","United Kingdom","Percentage","2019","Tertiary education (levels 5-8)","Males",":",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","United Kingdom","Percentage","2019","Tertiary education (levels 5-8)","Females",":",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Iceland","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males",":",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Iceland","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females",":",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Iceland","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males",":",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Iceland","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females",":",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Iceland","Percentage","2019","Tertiary education (levels 5-8)","Males",":",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Iceland","Percentage","2019","Tertiary education (levels 5-8)","Females",":",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Norway","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","40.4",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Norway","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","37.4",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Norway","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","56.0",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Norway","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","56.3",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Norway","Percentage","2019","Tertiary education (levels 5-8)","Males","32.7",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Norway","Percentage","2019","Tertiary education (levels 5-8)","Females","37.9",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Switzerland","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","33.7",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Switzerland","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","31.1",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Switzerland","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","57.6",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Switzerland","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","54.6",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Switzerland","Percentage","2019","Tertiary education (levels 5-8)","Males","41.1",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Switzerland","Percentage","2019","Tertiary education (levels 5-8)","Females","37.7",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Montenegro","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","26.4",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Montenegro","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","16.0",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Montenegro","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","55.9",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Montenegro","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","58.5",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Montenegro","Percentage","2019","Tertiary education (levels 5-8)","Males","55.6",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Montenegro","Percentage","2019","Tertiary education (levels 5-8)","Females","53.1",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","North Macedonia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","6.6",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","North Macedonia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","6.2",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","North Macedonia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","43.9",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","North Macedonia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","45.5",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","North Macedonia","Percentage","2019","Tertiary education (levels 5-8)","Males","42.4",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","North Macedonia","Percentage","2019","Tertiary education (levels 5-8)","Females","55.6",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Serbia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","17.5",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Serbia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","17.9",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Serbia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","56.2",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Serbia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","55.8",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Serbia","Percentage","2019","Tertiary education (levels 5-8)","Males","43.8",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Serbia","Percentage","2019","Tertiary education (levels 5-8)","Females","54.9",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Turkey","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males",":",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Turkey","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females",":",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Turkey","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males",":",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Turkey","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females",":",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Turkey","Percentage","2019","Tertiary education (levels 5-8)","Males",":",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Turkey","Percentage","2019","Tertiary education (levels 5-8)","Females",":",""
"From first and second stage of tertiary education (levels 5 and 6) of the parents","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","4.3",""
"From first and second stage of tertiary education (levels 5 and 6) of the parents","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","3.6",""
"From first and second stage of tertiary education (levels 5 and 6) of the parents","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","13.9",""
